time,open,high,low,close,volume,num_trades,qav,taker_buy_bav,taker_buy_qav
2020-08-13 07:59:59.999000,391.77000000,392.92000000,388.81000000,389.55000000,60719.30252000,28930,23747172.83555920,30057.53109000,11756385.94737840
2020-08-13 09:59:59.999000,389.55000000,389.91000000,376.59000000,386.40000000,152065.80619000,70090,58301729.89764250,70901.39034000,27186102.00380730
2020-08-13 11:59:59.999000,386.40000000,397.50000000,383.00000000,393.79000000,185226.85880000,72619,72623500.56372100,97672.39765000,38305727.39459420
2020-08-13 13:59:59.999000,393.85000000,395.26000000,384.38000000,390.79000000,132235.78814000,63426,51551528.97868780,64120.21654000,25007049.49935220
2020-08-13 15:59:59.999000,390.80000000,393.25000000,388.58000000,392.59000000,61558.32077000,32638,24075081.70371230,32604.79512000,12751719.86994790
2020-08-13 17:59:59.999000,392.57000000,393.85000000,387.66000000,392.19000000,57167.29056000,29321,22366188.99088400,26886.86350000,10520586.71111890
2020-08-13 19:59:59.999000,392.18000000,395.00000000,391.01000000,393.77000000,39674.56085000,17710,15600739.87241910,21889.25752000,8609779.27159660
2020-08-13 21:59:59.999000,393.78000000,422.19000000,393.78000000,418.67000000,329850.87027000,124331,135431490.24988380,181155.46776000,74184087.22440410
2020-08-13 23:59:59.999000,418.59000000,431.49000000,418.59000000,424.54000000,237401.08026000,86777,100852776.33047850,120569.65928000,51222357.86410610
2020-08-14 01:59:59.999000,424.54000000,430.00000000,421.61000000,424.83000000,123486.37295000,53653,52580016.33664340,61527.56380000,26202619.47291930
2020-08-14 03:59:59.999000,424.83000000,426.34000000,417.05000000,421.05000000,94306.26937000,40357,39767975.99003330,44361.56787000,18710137.63353280
2020-08-14 05:59:59.999000,421.02000000,425.33000000,420.46000000,420.72000000,78298.70135000,35936,33096212.02718140,39430.50180000,16668692.57647310
2020-08-14 07:59:59.999000,420.72000000,423.70000000,418.87000000,422.22000000,70273.44376000,34509,29610737.12166290,34187.56387000,14404034.12807920
2020-08-14 09:59:59.999000,422.20000000,425.45000000,421.40000000,423.76000000,79883.16483000,36714,33825838.81674450,42032.86551000,17799594.18475050
2020-08-14 11:59:59.999000,423.76000000,428.68000000,422.46000000,428.04000000,84748.83873000,38387,36062709.49126930,46843.09456000,19934765.03640420
2020-08-14 13:59:59.999000,428.02000000,428.04000000,422.57000000,425.78000000,72727.01794000,34237,30942506.85563780,36588.85092000,15564644.37946970
2020-08-14 15:59:59.999000,425.73000000,437.45000000,422.03000000,436.40000000,113350.85591000,52738,48637021.02976060,59126.00357000,25376261.27759080
2020-08-14 17:59:59.999000,436.50000000,444.71000000,433.74000000,440.06000000,210025.45108000,83450,92408416.34422500,101859.73458000,44824301.73149410
2020-08-14 19:59:59.999000,440.08000000,443.95000000,438.77000000,440.84000000,74906.29527000,36159,33092987.93135390,35351.67617000,15620022.81392170
2020-08-14 21:59:59.999000,440.85000000,442.40000000,434.44000000,437.76000000,62196.25729000,31214,27263168.75817160,27347.04064000,11990093.47091030
2020-08-14 23:59:59.999000,437.80000000,440.28000000,435.03000000,438.11000000,45468.27476000,25281,19892989.35914880,23010.43321000,10067653.87132530
2020-08-15 01:59:59.999000,438.12000000,441.50000000,435.45000000,441.08000000,67291.73576000,36230,29509261.98285580,33994.22686000,14911908.70070810
2020-08-15 03:59:59.999000,441.09000000,442.94000000,437.80000000,439.12000000,39946.58385000,23083,17584340.94383880,21231.85003000,9349532.08562840
